,title,context,question,answers
70,Utrecht,"Another landmark is the old centre and the canal structure in the inner city. The Oudegracht is a curved canal, partly following the ancient main branch of the Rhine. It is lined with the unique wharf-basement structures that create a two-level street along the canals. The inner city has largely retained its Medieval structure, and the moat ringing the old town is largely intact. Because of the role of Utrecht as a fortified city, construction outside the medieval centre and its city walls was restricted until the 19th century. Surrounding the medieval core there is a ring of late 19th- and early 20th-century neighbourhoods, with newer neighbourhoods positioned farther out. The eastern part of Utrecht remains fairly open. The Dutch Water Line, moved east of the city in the early 19th century required open lines of fire, thus prohibiting all permanent constructions until the middle of the 20th century on the east side of the city.",What has a rounded construction?,The Oudegracht
71,Communications_in_Somalia,"Concurrently, the Somali Transitional Federal Government began preparations to revive the national postal service. The government's overall reconstruction plan for Somali Post is structured into three Phases spread out over a period of ten years. Phase I will see the reconstruction of the postal headquarters and General Post Office (GPO), as well as the establishment of 16 branch offices in the capital and 17 in regional bases. As of March 2012, the Somali authorities have re-established Somalia's membership with the Universal Postal Union (UPU), and taken part once again in the Union's affairs. They have also rehabilitated the GPO in Mogadishu, and appointed an official Postal Consultant to provide professional advice on the renovations. Phase II of the rehabilitation project involves the construction of 718 postal outlets from 2014 to 2016. Phase III is slated to begin in 2017, with the objective of creating 897 postal outlets by 2022.",What is the anticipated turanround time on fixing the Somali post office?,ten years
72,Insect,"Many insects possess very sensitive and, or specialized organs of perception. Some insects such as bees can perceive ultraviolet wavelengths, or detect polarized light, while the antennae of male moths can detect the pheromones of female moths over distances of many kilometers. The yellow paper wasp (Polistes versicolor) is known for its wagging movements as a form of communication within the colony; it can waggle with a frequency of 10.6±2.1 Hz (n=190). These wagging movements can signal the arrival of new material into the nest and aggression between workers can be used to stimulate others to increase foraging expeditions. There is a pronounced tendency for there to be a trade-off between visual acuity and chemical or tactile acuity, such that most insects with well-developed eyes have reduced or simple antennae, and vice versa. There are a variety of different mechanisms by which insects perceive sound, while the patterns are not universal, insects can generally hear sound if they can produce it. Different insect species can have varying hearing, though most insects can hear only a narrow range of frequencies related to the frequency of the sounds they can produce. Mosquitoes have been found to hear up to 2 kHz., and some grasshoppers can hear up to 50 kHz. Certain predatory and parasitic insects can detect the characteristic sounds made by their prey or hosts, respectively. For instance, some nocturnal moths can perceive the ultrasonic emissions of bats, which helps them avoid predation.:87–94 Insects that feed on blood have special sensory structures that can detect infrared emissions, and use them to home in on their hosts.","Which of the following is not a type of light: ultraviolet, male or polarized?",male
73,Montevideo,"In Montevideo, as throughout the Rio de Plata region, the most popular forms of music are tango, milonga and vals criollo. Many notable songs originated in Montevideo including ""El Tango supremo"", La Cumparsita"", La Milonga"", ""La Puñalada"" and ""Desde el Alma"", composed by notable Montevideo musicians such as Gerardo Matos Rodríguez, Pintín Castellanos and Rosita Melo. Tango is deeply ingrained in the cultural life of the city and is the theme for many of the bars and restaurants in the city. Fun Fun' Bar, established in 1935, is one of the most important places for tango in Uruguay as is El Farolito, located in the old part of the city and Joventango, Café Las Musas, Garufa and Vieja Viola. The city is also home to the Montevideo Jazz Festival and has the Bancaria Jazz Club bar catering for jazz enthusiasts.",Where is Montevideo located?,Rio de Plata region
74,Religion_in_ancient_Rome,"At the time, there were many varying opinions about Christian doctrine, and no centralized way of enforcing orthodoxy. Constantine called all the Christian bishops throughout the Roman Empire to a meeting, and some 318 bishops (very few from the Western Empire) attended the First Council of Nicaea. The purpose of this meeting was to define Christian orthodoxy and clearly differentiate it from Christian heresies. The meeting reached consensus on the Nicene Creed and other statements. Later, Philostorgius criticized Christians who offered sacrifice at statues of the divus Constantine. Constantine nevertheless took great pains to assuage traditionalist and Christian anxieties.","Which of the following is not one of the groups Constantine appeased: traditionalist, Nicene, or Christian?",Nicene
75,Everton_F.C.,"Everton were founder members of the Premier League in 1992, but struggled to find the right manager. Howard Kendall had returned in 1990 but could not repeat his previous success, while his successor, Mike Walker, was statistically the least successful Everton manager to date. When former Everton player Joe Royle took over in 1994 the club's form started to improve; his first game in charge was a 2–0 victory over derby rivals Liverpool. Royle dragged Everton clear of relegation, leading the club to the FA Cup for the fifth time in its history, defeating Manchester United 1–0 in the final.","Who was the manager for Everton first, Royle or Walker?",Walker
76,Gymnastics,"Aerobic gymnastics (formally Sport Aerobics) involves the performance of routines by individuals, pairs, trios or groups up to 6 people, emphasizing strength, flexibility, and aerobic fitness rather than acrobatic or balance skills. Routines are performed for all individuals on a 7x7m floor and also for 12–14 and 15-17 trios and mixed pairs. From 2009, all senior trios and mixed pairs were required to be on the larger floor (10x10m), all groups also perform on this floor. Routines generally last 60–90 seconds depending on age of participant and routine category.",What is the length of one side of an individual aerobic gymnasts performance area?,7x7m
77,Muammar_Gaddafi,"Debate remained limited, and major decisions regarding the economy and defence were avoided or dealt with cursorily; the GPC largely remained ""a rubber stamp"" for Gaddafi's policies. On rare occasions, the GPC opposed Gaddafi's suggestions, sometimes successfully; notably, when Gaddafi called on primary schools to be abolished, believing that home schooling was healthier for children, the GPC rejected the idea. In other instances, Gaddafi pushed through laws without the GPC's support, such as when he desired to allow women into the armed forces. Gaddafi proclaimed that the People's Congresses provided for Libya's every political need, rendering other political organizations unnecessary; all non-authorized groups, including political parties, professional associations, independent trade unions and women's groups, were banned.",What did GPC only occasionally do when it disagreed with Gaddafi?,opposed Gaddafi's suggestions
78,San_Diego,"The original town of San Diego was located at the foot of Presidio Hill, in the area which is now Old Town San Diego State Historic Park. The location was not ideal, being several miles away from navigable water. In 1850, William Heath Davis promoted a new development by the Bay shore called ""New San Diego"", several miles south of the original settlement; however, for several decades the new development consisted only a few houses, a pier and an Army depot. In the late 1860s, Alonzo Horton promoted a move to the bayside area, which he called ""New Town"" and which became Downtown San Diego. Horton promoted the area heavily, and people and businesses began to relocate to New Town because of its location on San Diego Bay convenient to shipping. New Town soon eclipsed the original settlement, known to this day as Old Town, and became the economic and governmental heart of the city. Still, San Diego remained a relative backwater town until the arrival of a railroad connection in 1878.","Which happened first, San Diego became connected to a railroad, or Davis promoted a new development?",Davis promoted a new development
79,Czech_language,"Immigration of Czechs from Europe to the United States occurred primarily from 1848 to 1914. Czech is a Less Commonly Taught Language in U.S. schools, and is taught at Czech heritage centers. Large communities of Czech Americans live in the states of Texas, Nebraska and Wisconsin. In the 2000 United States Census, Czech was reported as the most-common language spoken at home (besides English) in Valley, Butler and Saunders Counties, Nebraska and Republic County, Kansas. With the exception of Spanish (the non-English language most commonly spoken at home nationwide), Czech was the most-common home language in over a dozen additional counties in Nebraska, Kansas, Texas, North Dakota and Minnesota. As of 2009, 70,500 Americans spoke Czech as their first language (49th place nationwide, behind Turkish and ahead of Swedish).",What language was likely spoken by the immigrants from Europe?,Czech
80,Annelid,"Annelids with blood vessels use metanephridia to remove soluble waste products, while those without use protonephridia. Both of these systems use a two-stage filtration process, in which fluid and waste products are first extracted and these are filtered again to re-absorb any re-usable materials while dumping toxic and spent materials as urine. The difference is that protonephridia combine both filtration stages in the same organ, while metanephridia perform only the second filtration and rely on other mechanisms for the first – in annelids special filter cells in the walls of the blood vessels let fluids and other small molecules pass into the coelomic fluid, where it circulates to the metanephridia. In annelids the points at which fluid enters the protonephridia or metanephridia are on the forward side of a septum while the second-stage filter and the nephridiopore (exit opening in the body wall) are in the following segment. As a result, the hindmost segment (before the growth zone and pygidium) has no structure that extracts its wastes, as there is no following segment to filter and discharge them, while the first segment contains an extraction structure that passes wastes to the second, but does not contain the structures that re-filter and discharge urine.",What do Annelids with blood vessels and those without have in common?,Both of these systems use a two-stage filtration process
81,Macintosh,"After the Lisa's announcement, John Dvorak discussed rumors of a mysterious ""MacIntosh"" project at Apple in February 1983. The company announced the Macintosh 128K—manufactured at an Apple factory in Fremont, California—in October 1983, followed by an 18-page brochure included with various magazines in December. The Macintosh was introduced by a US$1.5 million Ridley Scott television commercial, ""1984"". It most notably aired during the third quarter of Super Bowl XVIII on January 22, 1984, and is now considered a ""watershed event"" and a ""masterpiece."" Regis McKenna called the ad ""more successful than the Mac itself."" ""1984"" used an unnamed heroine to represent the coming of the Macintosh (indicated by a Picasso-style picture of the computer on her white tank top) as a means of saving humanity from the ""conformity"" of IBM's attempts to dominate the computer industry. The ad alludes to George Orwell's novel, Nineteen Eighty-Four, which described a dystopian future ruled by a televised ""Big Brother.""","What artist is referenced in the ""1984"" commercial?",Picasso
82,Videoconferencing,"Finally, in the 1990s, Internet Protocol-based videoconferencing became possible, and more efficient video compression technologies were developed, permitting desktop, or personal computer (PC)-based videoconferencing. In 1992 CU-SeeMe was developed at Cornell by Tim Dorcey et al. In 1995 the first public videoconference between North America and Africa took place, linking a technofair in San Francisco with a techno-rave and cyberdeli in Cape Town. At the Winter Olympics opening ceremony in Nagano, Japan, Seiji Ozawa conducted the Ode to Joy from Beethoven's Ninth Symphony simultaneously across five continents in near-real time.",What is the continent from which there was a videoconference with Cape Town?,North America
83,Separation_of_church_and_state_in_the_United_States,"Jefferson's opponents said his position was the destruction and the governmental rejection of Christianity, but this was a caricature. In setting up the University of Virginia, Jefferson encouraged all the separate sects to have preachers of their own, though there was a constitutional ban on the State supporting a Professorship of Divinity, arising from his own Virginia Statute for Religious Freedom. Some have argued that this arrangement was ""fully compatible with Jefferson's views on the separation of church and state;"" however, others point to Jefferson's support for a scheme in which students at the University would attend religious worship each morning as evidence that his views were not consistent with strict separation. Still other scholars, such as Mark David Hall, attempt to sidestep the whole issue by arguing that American jurisprudence focuses too narrowly on this one Jeffersonian letter while failing to account for other relevant history",What made some doubt Jefferson as religious at the college?,a constitutional ban on the State supporting a Professorship of Divinity
84,Black_people,"Alan Dershowitz described Sudan as an example of a government that ""actually deserve(s)"" the appellation ""apartheid."" Former Canadian Minister of Justice Irwin Cotler echoed the accusation.",Who made the accusation that was echoed?,Alan Dershowitz
85,Dissolution_of_the_Soviet_Union,"On the next day, December 18, protests turned into civil unrest as clashes between troops, volunteers, militia units, and Kazakh students turned into a wide-scale confrontation. The clashes could only be controlled on the third day. The Almaty events were followed by smaller protests and demonstrations in Shymkent, Pavlodar, Karaganda, and Taldykorgan. Reports from Kazakh SSR authorities estimated that the riots drew 3,000 people. Other estimates are of at least 30,000 to 40,000 protestors with 5,000 arrested and jailed, and an unknown number of casualties. Jeltoqsan leaders say over 60,000 Kazakhs participated in the protests. According to the Kazakh SSR government, there were two deaths during the riots, including a volunteer police worker and a student. Both of them had died due to blows to the head. About 100 others were detained and several others were sentenced to terms in labor camps. Sources cited by the Library of Congress claimed that at least 200 people died or were summarily executed soon thereafter; some accounts estimate casualties at more than 1,000. The writer Mukhtar Shakhanov claimed that a KGB officer testified that 168 protesters were killed, but that figure remains unconfirmed.",In which country do these events take place?,Kazakh SSR
86,London,"London is home to five major medical schools – Barts and The London School of Medicine and Dentistry (part of Queen Mary), King's College London School of Medicine (the largest medical school in Europe), Imperial College School of Medicine, UCL Medical School and St George's, University of London – and has a large number of affiliated teaching hospitals. It is also a major centre for biomedical research, and three of the UK's five academic health science centres are based in the city – Imperial College Healthcare, King's Health Partners and UCL Partners (the largest such centre in Europe).","Between Barts and King's College, which one is bigger?",King's College
87,"Richmond,_Virginia","Hinduism is actively practiced, particularly in suburban areas of Henrico and Chesterfield. Some 6,000 families of Indian descent resided in the Richmond Region as of 2011. Hindus are served by several temples and cultural centers. The two most familiar are the Cultural Center of India (CCI) located off of Iron Bridge Road in Chesterfield County and the Hindu Center of Virginia in Henrico County which has garnered national fame and awards for being the first LEED certified religious facility in the commonwealth.",What major has many hindus in settlements near them?,Richmond Region
88,Seattle,"Seattle is considered the home of grunge music, having produced artists such as Nirvana, Soundgarden, Alice in Chains, Pearl Jam, and Mudhoney, all of whom reached international audiences in the early 1990s. The city is also home to such varied artists as avant-garde jazz musicians Bill Frisell and Wayne Horvitz, hot jazz musician Glenn Crytzer, hip hop artists Sir Mix-a-Lot, Macklemore, Blue Scholars, and Shabazz Palaces, smooth jazz saxophonist Kenny G, classic rock staples Heart and Queensrÿche, and alternative rock bands such as Foo Fighters, Harvey Danger, The Presidents of the United States of America, The Posies, Modest Mouse, Band of Horses, Death Cab for Cutie, and Fleet Foxes. Rock musicians such as Jimi Hendrix, Duff McKagan, and Nikki Sixx spent their formative years in Seattle.","Which of the following is not an alternative rock band: Foo Fighters, The Posies, or Nirvana?",Nirvana
89,Genocide,"About 30 people have been indicted for participating in genocide or complicity in genocide during the early 1990s in Bosnia. To date, after several plea bargains and some convictions that were successfully challenged on appeal two men, Vujadin Popović and Ljubiša Beara, have been found guilty of committing genocide, Zdravko Tolimir has been found guilty of committing genocide and conspiracy to commit genocide, and two others, Radislav Krstić and Drago Nikolić, have been found guilty of aiding and abetting genocide. Three others have been found guilty of participating in genocides in Bosnia by German courts, one of whom Nikola Jorgić lost an appeal against his conviction in the European Court of Human Rights. A further eight men, former members of the Bosnian Serb security forces were found guilty of genocide by the State Court of Bosnia and Herzegovina (See List of Bosnian genocide prosecutions).",What governmental department were unnamed peope found guilty?,Bosnian Serb security forces
90,Himachal_Pradesh,"In the assembly elections held in November 2012, the Congress secured an absolute majority. The Congress won 36 of the 68 seats while the BJP won only 26 of the 68 seats. Virbhadra Singh was sworn-in as Himachal Pradesh's Chief Minister for a record sixth term in Shimla on 25 December 2012. Virbhadra Singh who has held the top office in Himachal five times in the past, was administered the oath of office and secrecy by Governor Urmila Singh at an open ceremony at the historic Ridge Maidan in Shimla.","Who won more seats, the Congress or the BJP?",Congress
91,Prime_minister,"Canada's constitution, being a 'mixed' or hybrid constitution (a constitution that is partly formally codified and partly uncodified) originally did not make any reference whatsoever to a prime minister, with her or his specific duties and method of appointment instead dictated by ""convention"". In the Constitution Act, 1982, passing reference to a ""Prime Minister of Canada"" is added, though only regarding the composition of conferences of federal and provincial first ministers.",What is the compilation of rules for Canada?,constitution
92,Southern_Europe,"The period known as classical antiquity began with the rise of the city-states of Ancient Greece. Greek influence reached its zenith under the expansive empire of Alexander the Great, spreading throughout Asia.",Where did Alexander the Great live?,expansive empire
93,Sino-Tibetan_relations_during_the_Ming_dynasty,"According to the official Twenty-Four Histories, the History of Ming compiled in 1739 by the subsequent Qing dynasty (1644–1912), the Ming dynasty established the ""É-Lì-Sī Army-Civilian Marshal Office"" (Chinese: 俄力思軍民元帥府) in western Tibet and installed the ""Ü-Tsang Itinerant High Commandery"" and ""Amdo-Kham Itinerant High Commandery"" to administer Kham. The Mingshi states that administrative offices were set up under these high commanderies, including one Itinerant Commandery, three Pacification Commissioner's Offices, six Expedition Commissioner's Offices, four Wanhu offices (myriarchies, in command of 10,000 households each) and seventeen Qianhu offices (chiliarchies, each in command of 1,000 households).",what 24 were official altogether?,Histories
94,North_Carolina,"North Carolina averages fewer than 20 tornadoes per year, many of them produced by hurricanes or tropical storms along the coastal plain. Tornadoes from thunderstorms are a risk, especially in the eastern part of the state. The western Piedmont is often protected by the mountains, which tend to break up storms as they try to cross over; the storms will often re-form farther east. Also a weather phenomenon known as ""cold air damming"" often occurs in the northwestern part of the state, which can also weaken storms but can also lead to major ice events in winter.",When does cold air damming happen?,in winter
95,Athanasius_of_Alexandria,"Constantius, renewing his previous policies favoring the Arians, banished Athanasius from Alexandria once again. This was followed, in 356, by an attempt to arrest Athanasius during a vigil service. Athanasius fled to Upper Egypt, where he stayed in several monasteries and other houses. During this period, Athanasius completed his work Four Orations against the Arians and defended his own recent conduct in the Apology to Constantius and Apology for His Flight. Constantius's persistence in his opposition to Athanasius, combined with reports Athanasius received about the persecution of non-Arians by the new Arian bishop George of Laodicea, prompted Athanasius to write his more emotional History of the Arians, in which he described Constantius as a precursor of the Antichrist.",What did he accomplish while in Upper Egypt?,completed his work Four Orations against the Arians
96,Biodiversity,"Brazil's Atlantic Forest is considered one such hotspot, containing roughly 20,000 plant species, 1,350 vertebrates, and millions of insects, about half of which occur nowhere else.[citation needed] The island of Madagascar and India are also particularly notable. Colombia is characterized by high biodiversity, with the highest rate of species by area unit worldwide and it has the largest number of endemics (species that are not found naturally anywhere else) of any country. About 10% of the species of the Earth can be found in Colombia, including over 1,900 species of bird, more than in Europe and North America combined, Colombia has 10% of the world’s mammals species, 14% of the amphibian species, and 18% of the bird species of the world. Madagascar dry deciduous forests and lowland rainforests possess a high ratio of endemism.[citation needed] Since the island separated from mainland Africa 66 million years ago, many species and ecosystems have evolved independently.[citation needed] Indonesia's 17,000 islands cover 735,355 square miles (1,904,560 km2) and contain 10% of the world's flowering plants, 12% of mammals, and 17% of reptiles, amphibians and birds—along with nearly 240 million people. Many regions of high biodiversity and/or endemism arise from specialized habitats which require unusual adaptations, for example, alpine environments in high mountains, or Northern European peat bogs.[citation needed]",How many unique insects in Atlantic Forest?,about half
97,"Punjab,_Pakistan","Punjab during Mahabharata times was known as Panchanada. Punjab was part of the Indus Valley Civilization, more than 4000 years ago. The main site in Punjab was the city of Harrapa. The Indus Valley Civilization spanned much of what is today Pakistan and eventually evolved into the Indo-Aryan civilisation. The Vedic civilisation flourished along the length of the Indus River. This civilisation shaped subsequent cultures in South Asia and Afghanistan. Although the archaeological site at Harappa was partially damaged in 1857 when engineers constructing the Lahore-Multan railroad used brick from the Harappa ruins for track ballast, an abundance of artefacts have nevertheless been found. Punjab was part of the great ancient empires including the Gandhara Mahajanapadas, Achaemenids, Macedonians, Mauryas, Kushans, Guptas, and Hindu Shahi. It also comprised the Gujar empire for a period of time, otherwise known as the Gurjara-Pratihara empire. Agriculture flourished and trading cities (such as Multan and Lahore) grew in wealth.",Who inhabited Pakistan during ancient times?,Indo-Aryan civilisation
98,Armenians,"Following the breakup of the Russian Empire in the aftermath of World War I for a brief period, from 1918 to 1920, Armenia was an independent republic. In late 1920, the communists came to power following an invasion of Armenia by the Red Army, and in 1922, Armenia became part of the Transcaucasian SFSR of the Soviet Union, later forming the Armenian Soviet Socialist Republic (1936 to September 21, 1991). In 1991, Armenia declared independence from the USSR and established the second Republic of Armenia.",Who were the communists that came to power?,Transcaucasian SFSR of the Soviet Union
99,Antenna_(radio),"Antennas are characterized by a number of performance measures which a user would be concerned with in selecting or designing an antenna for a particular application. Chief among these relate to the directional characteristics (as depicted in the antenna's radiation pattern) and the resulting gain. Even in omnidirectional (or weakly directional) antennas, the gain can often be increased by concentrating more of its power in the horizontal directions, sacrificing power radiated toward the sky and ground. The antenna's power gain (or simply ""gain"") also takes into account the antenna's efficiency, and is often the primary figure of merit.",What represents merit?,The antenna's power gain
100,Valencia,"Valencia enjoyed strong economic growth over the last decade, much of it spurred by tourism and the construction industry,[citation needed] with concurrent development and expansion of telecommunications and transport. The city's economy is service-oriented, as nearly 84% of the working population is employed in service sector occupations[citation needed]. However, the city still maintains an important industrial base, with 5.5% of the population employed in this sector. Agricultural activities are still carried on in the municipality, even though of relatively minor importance with only 1.9% of the working population and 3973 hectares planted mostly in orchards and citrus groves.",Where would you find farms in Valencia?,3973 hectares planted mostly in orchards and citrus groves
101,Karl_Popper,"Popper won many awards and honours in his field, including the Lippincott Award of the American Political Science Association, the Sonning Prize, the Otto Hahn Peace Medal of the United Nations Association of Germany in Berlin and fellowships in the Royal Society, British Academy, London School of Economics, King's College London, Darwin College, Cambridge, and Charles University, Prague. Austria awarded him the Grand Decoration of Honour in Gold for Services to the Republic of Austria in 1986, and the Federal Republic of Germany its Grand Cross with Star and Sash of the Order of Merit, and the peace class of the Order Pour le Mérite. He received the Humanist Laureate Award from the International Academy of Humanism. He was knighted by Queen Elizabeth II in 1965, and was elected a Fellow of the Royal Society in 1976. He was invested with the Insignia of a Companion of Honour in 1982.",How do we know that Popper was respected by society?,Popper won many awards and honours in his field
102,Anthropology,"Linguistic anthropology (also called anthropological linguistics) seeks to understand the processes of human communications, verbal and non-verbal, variation in language across time and space, the social uses of language, and the relationship between language and culture. It is the branch of anthropology that brings linguistic methods to bear on anthropological problems, linking the analysis of linguistic forms and processes to the interpretation of sociocultural processes. Linguistic anthropologists often draw on related fields including sociolinguistics, pragmatics, cognitive linguistics, semiotics, discourse analysis, and narrative analysis.",__ is the study of sign process,semiotics
103,2008_Sichuan_earthquake,"Official figures (as of July 21, 2008 12:00 CST) stated that 69,197 were confirmed dead, including 68,636 in Sichuan province, and 374,176 injured, with 18,222 listed as missing. The earthquake left about 4.8 million people homeless, though the number could be as high as 11 million. Approximately 15 million people lived in the affected area. It was the deadliest earthquake to hit China since the 1976 Tangshan earthquake, which killed at least 240,000 people, and the strongest in the country since the 1950 Chayu earthquake, which registered at 8.5 on the Richter magnitude scale. It is the 21st deadliest earthquake of all time. On November 6, 2008, the central government announced that it would spend 1 trillion RMB (about US $146.5 billion) over the next three years to rebuild areas ravaged by the earthquake, as part of the Chinese economic stimulus program.",How many people no longer have a place to live?,"4.8 million people homeless, though the number could be as high as 11 million"
104,Hyderabad,"Television broadcasting in Hyderabad began in 1974 with the launch of Doordarshan, the Government of India's public service broadcaster, which transmits two free-to-air terrestrial television channels and one satellite channel. Private satellite channels started in July 1992 with the launch of Star TV. Satellite TV channels are accessible via cable subscription, direct-broadcast satellite services or internet-based television. Hyderabad's first dial-up internet access became available in the early 1990s and was limited to software development companies. The first public internet access service began in 1995, with the first private sector internet service provider (ISP) starting operations in 1998. In 2015, high-speed public WiFi was introduced in parts of the city.",What do people in Hyderabad use to search the web?,high-speed public WiFi
105,Pain,"Breakthrough pain is transitory acute pain that comes on suddenly and is not alleviated by the patient's normal pain management. It is common in cancer patients who often have background pain that is generally well-controlled by medications, but who also sometimes experience bouts of severe pain that from time to time ""breaks through"" the medication. The characteristics of breakthrough cancer pain vary from person to person and according to the cause. Management of breakthrough pain can entail intensive use of opioids, including fentanyl.",how is breakthrough pain handled,"intensive use of opioids, including fentanyl"
106,Plymouth,"Upper Palaeolithic deposits, including bones of Homo sapiens, have been found in local caves, and artefacts dating from the Bronze Age to the Middle Iron Age have been found at Mount Batten showing that it was one of the main trading ports of the country at that time. An unidentified settlement named 'TAMARI OSTIA' (mouth/estuaries of the Tamar) is listed in Ptolemy's Geographia and is presumed to be located in the area of the modern city.",__ was the first of the protohistoric European periods.,Iron
107,Queen_(band),"In late 1975, Queen recorded and released A Night at the Opera, taking its name from the popular Marx Brothers movie. At the time, it was the most expensive album ever produced. Like its predecessor, the album features diverse musical styles and experimentation with stereo sound. In ""The Prophet's Song"", an eight-minute epic, the middle section is a canon, with simple phrases layered to create a full-choral sound. The Mercury penned ballad, ""Love of My Life"", featured a harp and overdubbed vocal harmonies. The album was very successful in Britain, and went triple platinum in the United States. The British public voted it the 13th greatest album of all time in a 2004 Channel 4 poll. It has also ranked highly in international polls; in a worldwide Guinness poll, it was voted the 19th greatest of all time, while an ABC poll saw the Australian public vote it the 28th greatest of all time. A Night at the Opera has frequently appeared in ""greatest albums"" lists reflecting the opinions of critics. Among other accolades, it was ranked number 16 in Q Magazine's ""The 50 Best British Albums Ever"" in 2004, and number 11 in Rolling Stone's ""The 100 Greatest Albums of All Time"" as featured in their Mexican edition in 2004. It was also placed at No. 230 on Rolling Stone magazine's list of ""The 500 Greatest Albums of All Time"" in 2003. A Night at the Opera is the third and final Queen album to be featured in the book 1001 Albums You Must Hear Before You Die.","Which poll did A Night at the Opera rank better, the Australian public vote or in a worldwide Guinness poll?",worldwide Guinness poll
108,University_of_Kansas,"The KU School of Engineering is an ABET accredited, public engineering school located on the main campus. The School of Engineering was officially founded in 1891, although engineering degrees were awarded as early as 1873.",What kind of school is this?,School of Engineering
109,Pacific_War,"Two battle-hardened Australian divisions were steaming from the Mid-East for Singapore. Churchill wanted them diverted to Burma, but Curtin insisted on a return to Australia. In early 1942 elements of the Imperial Japanese Navy proposed an invasion of Australia. The Japanese Army opposed the plan and it was rejected in favour of a policy of isolating Australia from the United States via blockade by advancing through the South Pacific. The Japanese decided upon a seaborne invasion of Port Moresby, capital of the Australian Territory of Papua which would put Northern Australia within range of Japanese bomber aircraft.",39% of the population of __ was born elsewhere.,Singapore
110,Arnold_Schwarzenegger,"In October 2013, the New York Post reported that Schwarzenegger was exploring a future run for president. The former California governor would face a constitutional hurdle; Article II, Section I, Clause V nominally prevents individuals who are not natural-born citizens of the United States from assuming the office. He has reportedly been lobbying legislators about a possible constitutional change, or filing a legal challenge to the provision. Columbia University law professor Michael Dorf observed that Schwarzenegger's possible lawsuit could ultimately win him the right to run for the office, noting, ""The law is very clear, but it’s not 100 percent clear that the courts would enforce that law rather than leave it to the political process.""",What is one avenue through which Schwarzenegger might have addressed this hurdle?,the courts
111,Universal_Studios,"""Junior"" Laemmle persuaded his father to bring Universal up to date. He bought and built theaters, converted the studio to sound production, and made several forays into high-quality production. His early efforts included the critically mauled part-talkie version of Edna Ferber's novel Show Boat (1929), the lavish musical Broadway (1929) which included Technicolor sequences; and the first all-color musical feature (for Universal), King of Jazz (1930). The more serious All Quiet on the Western Front (1930), won its year's Best Picture Oscar.",__ was directed by Paul fejos.,Broadway
112,Guam,"The first European to discover Guam was Portuguese navigator Ferdinand Magellan, sailing for the King of Spain, when he sighted the island on March 6, 1521 during his fleet's circumnavigation of the globe.:41–42 When Magellan arrived on Guam, he was greeted by hundreds of small outrigger canoes that appeared to be flying over the water, due to their considerable speed. These outrigger canoes were called Proas, and resulted in Magellan naming Guam Islas de las Velas Latinas (""Islands of the Lateen sails""). Antonio Pigafetta, one of Magellan's original 18 the name ""Island of Sails"", but he also writes that the inhabitants ""entered the ships and stole whatever they could lay their hands on"", including ""the small boat that was fastened to the poop of the flagship."":129 ""Those people are poor, but ingenious and very thievish, on account of which we called those three islands Islas de los Ladrones (""Islands of thieves"")."":131",What are the three islands called?,"""Islands of thieves"""
113,Glass,"Glass has the ability to refract, reflect, and transmit light following geometrical optics, without scattering it. It is used in the manufacture of lenses and windows. Common glass has a refraction index around 1.5. This may be modified by adding low-density materials such as boron, which lowers the index of refraction (see crown glass), or increased (to as much as 1.8) with high-density materials such as (classically) lead oxide (see flint glass and lead glass), or in modern uses, less toxic oxides of zirconium, titanium, or barium. These high-index glasses (inaccurately known as ""crystal"" when used in glass vessels) cause more chromatic dispersion of light, and are prized for their diamond-like optical properties.","__ is a lustrous, greyish-white, soft, ductile, malleable metal that is solid at room temperature, though it is hard and brittle at lesser purities.",zirconium
114,Flowering_plant,"In the dicotyledons, the bundles in the very young stem are arranged in an open ring, separating a central pith from an outer cortex. In each bundle, separating the xylem and phloem, is a layer of meristem or active formative tissue known as cambium. By the formation of a layer of cambium between the bundles (interfascicular cambium), a complete ring is formed, and a regular periodical increase in thickness results from the development of xylem on the inside and phloem on the outside. The soft phloem becomes crushed, but the hard wood persists and forms the bulk of the stem and branches of the woody perennial. Owing to differences in the character of the elements produced at the beginning and end of the season, the wood is marked out in transverse section into concentric rings, one for each season of growth, called annual rings.",What formation is created in each bundle seperating the xylem and phloem,a layer of meristem or active formative tissue
115,Tuberculosis,"One-third of the world's population is thought to be infected with TB. New infections occur in about 1% of the population each year. In 2014, there were 9.6 million cases of active TB which resulted in 1.5 million deaths. More than 95% of deaths occurred in developing countries. The number of new cases each year has decreased since 2000. About 80% of people in many Asian and African countries test positive while 5–10% of people in the United States population tests positive by the tuberculin test. Tuberculosis has been present in humans since ancient times.",Who is really vulnerable to infection by TB?,people in many Asian and African countries
